"id","productname","product","encode","name2","productcode","category","video","mrp","description","age","scheme","isnew","timestamp","categoryname","schemename",
"46","GLASS PAINTING DESIGNER COASTERS","","","","39510","16","","399","Glass painting is a remarkable form of art, using attractive transparent colours.
This kit enables a child to make 6 design coasters from start to finish.
It is a creative hobby art using glass paints and liner to make stunning designs on transparent bases.
The instruction manual guides the child to master techniques in using glass paints.
Once dry, you now have a fantastic super set of design Coasters!



Contents
Transparent bases: 6; Glass paints: 3 colours; Paint brush: 1; Glass 3D-Outliner tube: 1;
Instruction manual","","","","2014-09-11 10:57:55","Glass & Ceramics","",
"47","HEAD & TAIL - FARM","","","","39110","21","","175","This set includes 6 simple puzzles each making one farm animal. The 6 puzzles involve matching two pieces which when fitted together, form one farm animal.This exercise of matching the pieces improves the child’s visual discrimination ability.The large chunky pieces can be gripped and held by the child. This helps developing motor skills and eye-hand coordination.All the pictures from the puzzle pieces are thematic, so they impart more knowledge to the child about the animals.Contents6 X 2 pieces shaped puzzle","","3","0","2014-10-13 03:12:51","Jigsaw Puzzles","Below MRP - 200",
"48","WARLI ART PUZZLE - 3 IN 1","","","","39134","21","","275","Nurture Art. Nurture Mind. Warli art is a beautiful folk art of Maharashtra, traditionally created by the tribal womens. Tribal people express themselves in vivid styles through paintings which they execute on the walls of their house. 
The two 18-piece puzzles & one 36-piece puzzle are fun to match while taking clues from shapes and colours.
Unlike a picture puzzle, this one offers involvement and subconscious understanding of art during play. ‘Warli’ style depicts activities from day to day life and special events of an Indian village in simple shapes and forms.
Here, the Warli art rendered in colours makes it even more interesting for children.


Contents
Two 18-pieces puzzles; One 36-piece puzzle","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"49","A TO Z FANCY DRESS","","","","39157","21","","399","A to Z Fancy Dress explores several professions in a role-play fashion.
Being a two-sided puzzle, it provides play for children over two age groups - 3 to 5 and 6 to 8 years.
The younger children can learn about the English Alphabet and a host of ‘professions’ based on each letter.
For every letter there is a profession depicted in a four-piece puzzle. The child first makes the 26 four piece puzzle sets for all the letters of the Alphabet. Then links the letter sets to one another.
The older children can play with the puzzle using the flip side of these pieces. They put together pieces to reveal little poems describing each profession in a fun way.
To make the child's fancy dress journey go even wilder, these pieces give out many more professions starting from each letter. All in all, it is a highly involving puzzle.


Contents
28 x 4 pieces double sided jigsaw puzzles; 2 x 1 double sided card pieces","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"50","Bundle in - Singled Out","","","","39142","21","","349","This is an educational aid comprising of 18 themes – formed by connecting triangular shaped jigsaw puzzle pieces (a total of 108 pieces!).
When all the 6 triangle shape pieces are joined correctly they form a family/group in the form of a hexagonal shape. But in this family of six there is an odd-one.
With the devil tag jigsaw piece the child can figure this odd one out and then think of a logical reason why this is different from the rest of the group.


Contents
6 x 18 pieces hexagon puzzle; 18 odd one out tags; Instruction guide inside for game play","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"51","Know your Body","","","","39151","21","","249","The picture puzzle is made up of jigsaw along with inset word pieces which shows children enjoying themselves on the seaside.
The children first piece together the jigsaws to reveal the beach.
They realize that there are empty slots of varying lengths in the puzzle which can be populated with appropriately sized words revealing the body parts.
They can insert these pieces by trial and error and when the puzzle is complete the child gets to learn as many as 35 parts of the body.


Contents
35 piece jigsaw puzzle & 35 inset pieces; Puzzle guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"52","Months & Seasons","","","","39145","21","","225","This oval shaped 108 piece puzzle illustrates the four seasons: fall, winter, spring, and summer and can be solved in a step-wise way as it is multi-dimensional.
The child can solve the seasons one at a time and each forms a quadrant (1/4th part) of the oval.
Once the puzzle is solved, the child can fit the 6 pieces on the periphery which denote the months and days of each month corresponding to this season.
After completing it the child can study the picture and identify with the collage of activities shown for the season.
The child then completes the other 3 seasons one after another. As each picture puzzle reveals incomplete jigs on two sides, the child is prompted to join the 4 seasons in the right sequence to complete the oval picture.



Contents
108 piece jigsaw puzzle; Guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"53","Sports","","","","39148","21","","225","As a 3 piece puzzle, this sports puzzle depicts the play items, the location and the sport in action.
All the pieces have a common jig, so the child has to find out the correct matched pieces using the colour strip guide.
When all the matches are complete, the child learns about each sport and the parent can elaborate more features about the sport.
By encouraging the child to solve the puzzle the child's interest in sports is stimulated at a very young age.
Since all the pieces have common jigs other multi-play possibilities – different sports classification can be tried out.


Contents
3 x 18 pieces sporty puzzle; Guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"54","The Inside Story","","","","39147","21","","225","This educational aid gives the child an insight into what goes into various kinds of bags, baskets, wallets and cases.
They also come to terms with the utility and application of the articles that are essential and present inside.
Through multi-dimensional play it offers the child a rich brew of puzzle options and new discoveries in puzzle construction. 
After becoming familiar with what items are required in each bag, the picture puzzle can be taken to higher level by asking the child to make multiple bag assortments.


Contents
10 X 7 pieces multi-faceted jigsaw puzzle; Guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"55","The Opposites Train","","","","39152","21","","349","The child learns the opposites by putting them into 5 different trains complete with engine, eight carriages and the guard's wagon.Each carriage houses a pair of jigsaw pieces which depict the opposites in pictures along with the spellings.Each engine is thematic and so the opposite train houses them accordingly – The Theme attributes are - I act, I place, I look, I am, It is.The child learns the 40 pairs of opposites in a fun and playful manner.The carriages, engine and guard's van have a common connecting jig and the child can make different trains of varying length and new themes.Contents40 x 2 opposites; 5 puzzle trains with opposite’s pairs in 8 carriages; Puzzle guide inside for more information","","","1","2014-10-04 07:11:21","Jigsaw Puzzles","",
"56","Time a Tell Tale","","","","39144","21","","375","This five piece jigsaw puzzle set of 24 familiar daily scenarios serves as a one-of-its-kind educational aid for the child to learn the concept and how to read time.
The day in pictures comprises the main activity theme of the puzzle. The other 4 pieces in the jigsaw puzzle set show - the sun's trajectory and also the moon and stars as a night sky projection, the analog time clock, the digital time shown with AM/PM and the 24 hour digital clock. 
Different permutations and combinations of the these pieces as pairs, triads etc. are possible because of the common universal jigs and sequencing each set as a theme is also possible.
In fact, sequencing the pictures relives the day's event in the child's life, the sunrise and its trajectory and as well as the night sky, the motion of the analog and digital clock can be also connected to make the understanding of time more interesting.
All these wonderful time tales are described in an illustrated book provided.


Contents
24 x 5 pieces fun puzzle to learn all about time; Puzzle book included with multi-level example","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"57","THE ALPHABET PIZZA PUZZLE","","","","39100","21","","499","This educational aid introduces the child to not just A to Z - but much more.
It enables children to learn the letters (both lower and upper case) of the English Alphabet while developing their fine motor skills and eye-hand co-ordination.
It contains 156 jigsaw pieces of equal size, which can be arranged into multiple formations & allow enough experimenting. It also provides an opportunity for grouping fruits, animals, birds, insects, musical instruments, parts of the body and many more themes in interesting shapes and formations.
The illustrated book guides the child into completing all the puzzle concepts.


Contents
26 x 6 pieces multi-shape puzzles","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"58","ACTION CLAPPER","","","","39106","21","","199","A clapperboard is a device used in film-making. It is used here as a jigsaw prop to show action sequences to children.The Action Clapper is a 3-piece jigsaw puzzle with 20 different themes in which the agent responsible for the action is the piece in the centre.This puzzle imparts education and knowledge, and each action shows a logical sequence that can be explained to the child.Contents20 X 3 pieces action puzzle; Actions recorded in logical sequence; Puzzle guide inside for more information","","3","0","2014-10-13 04:39:30","Jigsaw Puzzles","Below MRP - 200",
"59","NUMBERS & COUNTING","","","","39107","21","","299","This educational aid is a one-of-its-kind starting platform for learning the numbers 1 to 20.
The large puzzle pieces provide the child with a better grip. Children fit the correct pairs with the help of the illustrations & colours.
To add to the tactile feel, pegs provided in this puzzle can be inserted in the holes by the sides of the puzzle boards.
These are designed in a way that children fit in the right number of pegs for each number card.


Contents
20 X 2 pieces fun puzzle","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"60","KIDDO - TRANSPORT","","","","39111","21","","175","This set includes 6 simple puzzles each making one Transport vehicle.These are three-piece puzzles & are the early steps for children to improve their visual & discerning skills besides the development of eye-hand coordination & motor skills.The pictures formed from this set belong to one family and so the puzzles provide additional knowledge on the theme.The images are brightly illustrated and so attract the attention of the childContents6 X 3 pieces shaped puzzle","","3","0","2014-10-13 03:47:43","Jigsaw Puzzles","Below MRP - 200",
"61","CANDID COLOURS","","","","39112","21","","199","This encourages the child to identify 12 colours and match them with familiar and similar coloured objects.Children can actually colour one of the 3 pieces in all 12 puzzles in the right colour with colourful sketch pens provided inside.The colourful faces depicted on the jigsaw pieces serve as shade cards and also show poignant emotions so the child connects with the puzzle very well.Contents12 X 3 pieces colour; Fun puzzle with 12 colour sketch pens; Quick guide inside for more information","","3","0","2014-10-13 04:40:31","Jigsaw Puzzles","Below MRP - 200",
"62","COLOURFUL CLOSET","","","","39113","21","","225","An exceptional platform for children to experiment and explore different assortments of colour and object arrangements.
Fill the closet with accessories & clothes of the same colour or go multi - colour!
The common jig style for each set allows multiple ways to connect the puzzle pieces.
Beyond just identifying and assorting colours or objects, other puzzle options are provided in an illustrated book, which tests the logical skills as well.


Contents
6 X 6 pieces Multi play puzzle","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"63","SUPER SHAPES","","","","39114","21","","175","This is a super-fun puzzle where the child enjoys putting together the animated pair of fun shapes.What starts off as matching pairs to make 20 basic shapes goes on to making 380 other Shape combos!And as all combos are unique, children would love to give them names and talk about the characteristics.Contents2 X 2 pieces multiple faces puzzles with 144 face possibilities; Quick guide inside for more information","","3","0","2014-10-13 03:48:33","Jigsaw Puzzles","Below MRP - 200",
"64","SHADOW THEATRE","","","","39115","21","","299","The 96 pieces can be put together to form a set of 24 four-piece sets of shadow pictures.
The four parts show actual hand formation to form a shadow of the animal or bird, a cutout of the shadow, an empty silhouette slot and a picture of the creature.
The cutouts of the shadows can be attached to the straws provided and children can create their own shadow puppet show.


Contents
24 X 4 pieces; fun puzzle; Puzzle guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"65","BIRD WATCH","","","","39116","21","","275","This educational aid introduces children to the mesmerizing world of birds.
By joining 4 jigsaw pieces together in a correct order children get to identify 18 birds, their appearance, the different beaks, their feet and their marvelous nests.
The educational value can be further expanded by asking the children to connect the appropriate jigsaw pieces as suggested in the manual provided inside.
Example: - Birds who lay eggs in a tree hollow - birds with webbed feet - and many more possibilities.


Contents
18 X 4 pieces square puzzle; Guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"66","AMAZING ANIMALS","","","","39117","21","","275","This educational aid introduces children to the amazing world of animals.
By joining the appropriate 4 jigsaw pieces for each animal, children get to identify the animal, have a close-up view, study their footprints, and their skin/ fur texture.
The educational aid unveils fascinating and sometimes surprising facts about the animals while enhancing their matching and sorting skills and visual discrimination.
This information will help children to understand these animals in a new light, stimulating their interest to explore more.


Contents
18 X 4 pieces square puzzle, Guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"67","FEAST ON FRUITS","","","","39118","21","","299","This educational aid introduces children to as many as 20 fruits, grown on trees, bushes, vines and how they appear when they are cut open.
120 jigsaw pieces in this educational aid enable the child to make up all the fruit trees, consisting of four pieces and two more pieces depicting the whole and cut fruit
With the cut pieces children get to see seeds and learn that new trees are formed from these very seeds.
Feast on Fruits helps them to understand many fruity facts. Oranges and Apples are grown on trees, strawberry grows on bushes and Melons and grapes grow on vines and many more.
Common jigs allow the child to experiment and play thereby learning more about this topic.
It is a treat for the children to know so many fruits and so many things about them.


Contents
18 X 3 pieces tree triangle puzzle; Recognize identify and recollect fruits; Puzzle guide inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"68","VEGGIE DELIGHT","","","","39119","21","","175","This is a Tree Triangle Teaching Aid, which introduces children to 18 frequently eaten vegetables.It educates children about the vegetables, their colour, the plant source, habitat and their cross-section, when cut before being eaten.In other jigsaw arrangements, children can identify and join only green vegetables, vegetables that grow underground, vegetables used as salads and those, which are eaten, raw.Contents18 X 3 pieces tree triangle puzzle; Recognize, Identify and recollect vegetables; Puzzle guide inside for more information","","3","0","2014-10-13 03:49:26","Jigsaw Puzzles","Below MRP - 200",
"69","THEN & NOW","","","","39120","21","","175","This educational aid will take the children on an amusing and fun journey as they discover the way things were THEN and the way they are NOW.It imparts knowledge and unveils fascinating facts about 20 objects like Locomotives, Television, Watch, Motorcar, etc., which they are familiar with in their day-to-day life.This can also be played between two children using their ability in identifying the correct pairsContents20 X 2 pieces fun puzzle; A fun and exciting journey from “then” to “now”; Puzzle guide inside for more information","","3","0","2014-10-13 03:49:01","Jigsaw Puzzles","Below MRP - 200",
"70","MATCHED PAIRS","","","","39123","21","","175","This helps children to establish a link between two objects that work together or go hand-in-glove.Besides sharpening their sorting and matching skills in linking the correct pairs, knowledge is imparted to the child on how the combination is associated together.This can also be played between the players using their memory and ability in identifying the correctly matched pairs.Contents20 X 2 pieces fun puzzle; Match the right pairs and understand their link; Puzzle guide inside for more information","","3","0","2014-10-13 03:48:04","Jigsaw Puzzles","Below MRP - 200",
"71","ZOOMAX","","","","39124","21","","175","“Zoomax” is a novel puzzle which shows children what objects look like when seen at very close quarters.It is a source of knowledge for the child by revealing textures and finer features, nature’s intricacies and much more.The zoomed image reveals a new experience which can also be a source of extended knowledge for the child.“Zoomax” is a fun game which can be played between two players testing their ability of identifying the correct pairsContents20 X 2 pieces fun puzzle to discover how different things appear when observed closely; Puzzle guide inside for more information","","3","0","2014-10-13 03:50:09","Jigsaw Puzzles","Below MRP - 200",
"72","ADD & SUBTRACT","","","","39125","21","","299","Concept of addition & subtraction is made unbelievably simple for children with this sequence picture puzzle. 
Children can learn to add and subtract with the self-correcting jigsaw puzzle examples and later, master the correct numbers on their own with help of the graphics.
Addition and Subtraction are learnt as being two sides of the same coin.
The book provided, offers a structured learning platform.


Contents
35 X 2 pieces triangle puzzle","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"73","SUPER SETS OF SIX - AIRCRAFT","","","","39126","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces. Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the Aircraft in the Sky.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-06 05:37:37","Jigsaw Puzzles","Below MRP - 200",
"74","SUPER SETS OF SIX - TASTY BITE","","","","39127","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces.Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the tasty snacks on the table.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-13 03:11:02","Jigsaw Puzzles","Below MRP - 200",
"75","SUPER SETS OF SIX - INSECTS","","","","39128","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces.Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the Insects in their habitat.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-06 05:42:10","Jigsaw Puzzles","Below MRP - 200",
"76","SUPER SETS OF SIX - MUSICAL INSTRUMENT","","","","39129","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces.Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the Musical Instruments on the stage.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-06 05:53:20","Jigsaw Puzzles","Below MRP - 200",
"77","SUPER SETS OF SIX  - ON ROAD","","","","39130","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces.Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the transport vehicle on the road.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-06 05:37:12","Jigsaw Puzzles","Below MRP - 200",
"78","MADHUBANI ART PUZZLE - 3 IN 1","","","","39133","21","","275","Nurture Art. Nurture Mind. Madhubani painting is a folk painting of northern India. The paintings are traditionally based on mythological, folk themes and pastoral symbols.
The two 18-piece puzzles & one 36-piece puzzle are fun to match while taking clues from patterns & colours.
Unlike a picture puzzle this one offers involvement & subconscious understanding of art during play. Madhubani style depicts objects & creatures from nature in simple forms & vibrant colours.
Also provided inside a Madhubani template that children can colour & extend the involvement with the art form.


Contents
2 X 18 pieces; 1 X 36 pieces; Book inside for more on  Madhubani","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"79","MADHUBANI ART PUZZLE - 2 IN 1","","","","39135","21","","275","Nurture Art. Nurture Mind. Madhubani painting is a folk painting of northern India. The paintings are traditionally based on mythological, folk themes and pastoral symbols.
The two 48-piece puzzles are fun to solve while taking clues from patterns & colours.
Unlike a picture puzzle this one offers involvement & subconscious understanding of art during play.
Madhubani style depicts objects & creatures from nature in simple forms & vibrant colours. 
Also provided inside a Madhubani template that children can colour  & extend the involvement with the art form.


Contents
2 X 48 pieces jigsaw puzzle; Instruction book inside on Madhubani Art","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"80","SUPER SETS OF SIX - FLOWERS","","","","39137","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces.Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE of the flowers in the garden.The big picture can be mounted on another paper or frame to make a poster like display.ContentsAssortment of 4, 5 & 6 pieces inset puzzles","","3","0","2014-10-06 05:37:59","Jigsaw Puzzles","Below MRP - 200",
"81","SUPER SETS OF SIX - SHIPS","","","","39138","21","","125","Each puzzle set contains 6 individual puzzles, formed by joining 4, 5 & 6 jigsaw pieces. Once all are complete they can be placed within their respective frame cutouts. The frames when arranged together reveal to children the BIG PICTURE. The big picture can be mounted on another paper or frame to make a poster like display.  Other themes available: On Road, Aircraft, Flowers, Insects, Music and Tasty Bites  Size: approx. 14 x 9.5 inches (when compiled together)","","3","0","2014-10-13 03:10:23","Jigsaw Puzzles","Below MRP - 200",
"82","DESIGNS & DIMENSIONS WITH DADOS - 1","","","","39753","21","","599","Dados-1 is a path-breaking and revolutionary learning-aid for those interested in understanding patterns, designs, spatial arrays and the third dimension- solid geometry.
The kit comprises a built-in magnetic board, magnetic shapes in four bright colours and a detailed educational compilation serving as reference book.
Being Magnetic, it serves as a great travel toy. Outlined frameworks provided make pattern formation facile and easy to use.


Contents
Assortment of 72 Magnetic shapes with magnetic play board & 6 frames; Instruction book inside for more information","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"83","MAGNETIC TANGRAM","","","","39752","21","","499","This ancient Chinese puzzle provides endless hours of brain-teasing and eye-appealing creative play.
Tangram consists of seven magnetic geometric pieces derived from a square but can be rearranged into an incredible variety of eye-popping images.
Working with Magnetic Tangram stimulates patience, creativity and spatial skills. Tangram puzzles and paradoxes are seen for the first time in this compilation. 
Tackle the Tangram teasers with new puzzles which are generated with just micro-rotations of these pieces. These resemble animated versions of people, birds, aquatic creatures, other living forms, objects, structures and other oddments.
Puzzles based on Indian motifs and festivals, Lord Ganesha, Diwali lamps and lanterns are introduced for the first time. 
New creations of “Tangram Paradoxes” are also included.


Contents
Board: 1; Magnetic Tangram tiles: 7; Instruction book (with almost 600 examples)","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"84","PENTOMINOES","","","","39714","21","","299","Pentominoes is the set of shapes created by combining 5 squares or cubes, with faces touching each other, in every possible combination. Children are exposed to basic concepts of mathematics and geometry while working with these 12 pieces. 
hey open new vistas to logic, experimentation, trial and error, problem solving, spatial awareness, and symmetry concepts resulting in deeper thought process and brain development.
The puzzling pentominoes has been especially compiled for juniors with more than 300 examples into making animals, birds, chess pieces, transport vehicles, articles, objects, trees, dwellings, faces, figures and motifs, the alphabet and numbers, designs, and symmetrical patterns.
Every pentomino puzzle is a rich and rewarding experience, in fact an ultimate brain-teasing trip
One can play with the puzzles solo or with friends or even as combined group activity. Either ways, they are mind-stimulators and be warned, highly addictive!


Contents
Pentominoes: 12 pieces; Puzzle Book","","","","2014-09-11 10:57:55","Jigsaw Puzzles","",
"85","POINTS OF VIEW","","","","39143","21","","225","'Points of View' offers an educational multi-level play platform for the child to understand how familiar objects and animals appear from different points of view – front, back, side and top.The 64 puzzle pieces are uniform in size with common jigs and the 4 piece jigsaw puzzle sets can be solved with the coloured leads. The set consists of 4 animals, 4 birds, 4 objects and 4 modes of transport.As extended play and learning the child can also put together the objects or animals with a common point of view (front, side, back and top) because of the common jigs.With the four different perspectives the concept of depth can be understood better by the child.Contents16 x 4 pieces fun puzzle; Puzzle guide inside for more information","","","1","2014-10-04 07:10:55","Jigsaw Puzzles","",
"86","MANDALA JIGSAW KALEIDOSCOPE","","","","39160","21","","349","Mandala is a Sanskrit word, loosely translated, for circle. This is a sensational jigsaw puzzle set which can give a multitude of Mandala designs. Each puzzle set can be transformed into a kaleidoscope of different puzzles depending on how you arrange the pieces.This is made possible because of the uniform triangular jigsaw pieces that connect with one another on any of the 3 sides. This multi-play option - to yield innumerable Mandala designs in different sizes and shapes gives the child a source of endless possibilitiesA Mandala picture is vibrant, colourful, and intricate and reveals new insights of deeper meaning. It represents wholeness - some use it for meditation and others to unlock their creativity.ContentsTriangular jigsaw puzzle pieces: 72; Segment jigsaw puzzle pieces: 18; Illustrated puzzle book for more information","","","1","2014-10-04 07:09:38","Jigsaw Puzzles","",
"87","SPELL & SOUND","","","","39155","21","","399","In this puzzle forty words are shown in pictures formed by matched jigsaw puzzle pairs.There are 10 large vehicle cut- outs, each of which has 4 empty slots for these pictures. In the driver's seat the word sound is displayed as a blend (2 consonants combined and 2 sounds are heard - gr, cr, fl, bl, tr, dr, pl) or digraph (2 consonants are combined and 1 sound is heard - ch, wh, sh).The Puzzle Activity involves the child recognizing the speech sound for each vehicle and then trying to form pictures with a pair of jigsaw pieces. Children can extend the learning with more play possibilities by forming more words or play a memory game whose rules are simple to follow.Contents10 x 8 inset jigsaw pieces; 10 vehicle frames","","","1","2014-10-04 07:11:09","Jigsaw Puzzles","",
"88","HEAD & TAIL - WATER","","","","39108","21","","175","This set includes 6 simple puzzles each making one aquatic animal. Each of the 6 puzzles involves matching two pieces which when fitted together, form one aquatic animal. This exercise of matching the pieces improves the child’s visual discrimination ability. The large chunky pieces can be gripped & held by the child. This helps developing motor skills & eye-hand coordination. All the pictures from the puzzle pieces are thematic, so they impart more knowledge to the child about the marine creatures.Contents6 X 2 pieces shaped puzzle","","3","0","2014-10-13 03:14:16","Jigsaw Puzzles","Below MRP - 200",
"89","HEAD & TAIL - JUNGLE","","","","39109","21","","175","This set includes 6 simple puzzles each making one jungle animal. Each of the 6 puzzles involves matching two pieces which when fitted together, form one jungle animal.This exercise of matching the pieces improves the child’s visual discrimination ability.The large chunky pieces can be gripped and held by the child. This helps developing motor skills and eye-hand coordination.All the pictures from the puzzle pieces are thematic, so they impart more knowledge to the child about the animals.Contents6 X 2 pieces shaped puzzle","","3","0","2014-10-13 03:14:02","Jigsaw Puzzles","Below MRP - 200",
"90","HEAD & TAIL - BIRDS","","","","39132","21","","175","This set includes 6 simple puzzles each making one bird. Each of the 6 puzzles involves matching two pieces which when fitted together, form one bird.This exercise of matching the pieces improves the child’s visual discrimination ability.The large chunky pieces can be gripped & held by the child. This helps developing motor skills & eye-hand coordination.All the pictures from the puzzle pieces are thematic, so they impart more knowledge to the child about the birds.Contents6 X 2 pieces shaped puzzle","","3","0","2014-10-13 03:12:23","Jigsaw Puzzles","Below MRP - 200",
"91","KIDDO - TOYS","","","","39131","21","","175","This set includes 6 simple puzzles each making one Toy.These are three-piece puzzles & are the early steps for children to improve their visual & discerning skills besides the development of eye-hand coordination and motor skills.The pictures formed from this set belong to one family and so the puzzles provide additional knowledge on the theme.The images are brightly illustrated & so attract the attention of the child.Contents6 X 3 pieces shaped puzzle","","3","0","2014-10-13 03:47:15","Jigsaw Puzzles","Below MRP - 200",
"92","... MORE WILD ANIMALS","","","","39102","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the wild animals starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series - “Wild Animals” to behold a panorama picture of the Wild Animals!ContentsAssortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-06 05:30:24","Jigsaw Puzzles","Below MRP - 200",
"93","WILD ANIMALS ...","","","","39101","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the Wild Animals starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “More with Wild Animals” to behold a panorama picture of the Wild Animals!ContentsAssortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-13 03:11:21","Jigsaw Puzzles","Below MRP - 200",
"94","FARM ANIMALS ...","","","","39103","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “More Farm Animals” to behold a Panorama Picture of the Farm Animals!ContentsAssortment of 4, 6, 8 & 12 pieces Jigsaw puzzles","","3","0","2014-10-06 05:33:51","Jigsaw Puzzles","Below MRP - 200",
"95","... MORE FARM ANIMALS","","","","39104","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “Farm Animals” to behold a Panorama Picture of the Farm Animals!ContentsAssortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-06 05:27:22","Jigsaw Puzzles","Below MRP - 200",
"96","... MORE WITH WINGS","","","","39139","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “With Wings” to behold a Panorama Picture of the Birds!ContentsAssortment of 4, 6, 8 & 12 pieces Jigsaw puzzles","","3","0","2014-10-06 05:31:26","Jigsaw Puzzles","Below MRP - 200",
"97","SEA ANIMALS ...","","","","39140","21","","125","This is a set of puzzles with an extended connectivity.The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “More Sea Animals” to behold a Panorama Picture of the Sea AnimalsContentsAssortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-06 05:36:38","Jigsaw Puzzles","Below MRP - 200",
"98","... MORE SEA ANIMALS","","","","39141","21","","125","This is a set of puzzles with an extended connectivity. The child first makes individual pictures of all the four puzzles starting from the simplest 4-piece puzzle to the more challenging 12-piece puzzle.With a little guidance the child discovers that the four completed pictures can actually be joined to make a portrait picture!You can even extend this puzzle picture with the other title in the series “Sea Animals” to behold a Panorama Picture of the same Sea Animals!ContentsAssortment of 4, 6, 8 & 12 pieces jigsaw puzzles","","3","0","2014-10-06 05:30:06","Jigsaw Puzzles","Below MRP - 200",
